2024-04-18 10:22:15,690 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 10:22:15,753 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 10:22:15,753 - ERROR - Unsimplified << /2 >>: Sympify of expression 'could not parse '/2'' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 1), and the simplified expression is << /2 >>
2024-04-18 10:22:15,854 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 10:22:24,253 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 10:22:27,846 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 10:22:32,884 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 10:22:40,296 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 10:22:45,376 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 10:22:54,507 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 10:22:58,101 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 10:23:06,201 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 10:23:12,665 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 10:23:19,276 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 10:23:25,269 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 11:00:43,478 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 11:00:43,527 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 11:00:43,528 - ERROR - Unsimplified << /2 >>: Sympify of expression 'could not parse '/2'' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 1), and the simplified expression is << /2 >>
2024-04-18 11:00:43,622 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 11:00:52,983 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
2024-04-18 11:00:54,173 - ERROR - Unsimplified <<  >>: Sympify of expression 'could not parse ''' failed, because of exception being raised:
SyntaxError: invalid syntax (<string>, line 0), and the simplified expression is <<  >>
