questions,step,content,label,is_calculation_or_reasoning,equation,leftSideOfEqualSign,rightSideOfEqualSign,leftSideOfEqual_use_sympy_or_llm,rightSideOfEqual_use_sympy_or_llm,leftSideOfEqual_code,rightSideOfEqual_code,JudgmentStepCalculatedCorrectly,StepCalculatedCorrectlyResult
"Seymour runs a plant shop. He has 4 flats of petunias with 8 petunias per flat, 3 flats of roses with 6 roses per flat, and two Venus flytraps. Each petunia needs 8 ounces of fertilizer, each rose needs 3 ounces of fertilizer, and each Venus flytrap needs 2 ounces of fertilizer. How many ounces of fertilizer does Seymour need in total?",Step 1,Seymour needs 8 x 4 = <<8*4=32>>32 ounces of fertilizer for the petunias.,0,1,['8*4=32'],['8*4=>32=>32.0000000000000'],['32=>32.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['32.0000000000000']
"Seymour runs a plant shop. He has 4 flats of petunias with 8 petunias per flat, 3 flats of roses with 6 roses per flat, and two Venus flytraps. Each petunia needs 8 ounces of fertilizer, each rose needs 3 ounces of fertilizer, and each Venus flytrap needs 2 ounces of fertilizer. How many ounces of fertilizer does Seymour need in total?",Step 2,He needs 3 x 6 = <<3*6=18>>18 ounces of fertilizer for the roses.,0,1,['3*6=18'],['3*6=>18=>18.0000000000000'],['18=>18.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['18.0000000000000']
"Seymour runs a plant shop. He has 4 flats of petunias with 8 petunias per flat, 3 flats of roses with 6 roses per flat, and two Venus flytraps. Each petunia needs 8 ounces of fertilizer, each rose needs 3 ounces of fertilizer, and each Venus flytrap needs 2 ounces of fertilizer. How many ounces of fertilizer does Seymour need in total?",Step 3,And he needs 2 x 2 = <<2*2=4>>4 ounces of fertilizer for the Venus flytraps.,0,1,['2*2=4'],['2*2=>4=>4.00000000000000'],['4=>4.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['4.00000000000000']
"Seymour runs a plant shop. He has 4 flats of petunias with 8 petunias per flat, 3 flats of roses with 6 roses per flat, and two Venus flytraps. Each petunia needs 8 ounces of fertilizer, each rose needs 3 ounces of fertilizer, and each Venus flytrap needs 2 ounces of fertilizer. How many ounces of fertilizer does Seymour need in total?",Step 4,Seymour needs 32 + 18 + 4 = <<32+18+4=54>>54 ounces of fertilizer in total. The answer is: 54,0,1,['32+18+4=54'],['32+18+4=>54=>54.0000000000000'],['54=>54.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['54.0000000000000']
Janet pays $40/hour for 3 hours per week of clarinet lessons and $28/hour for 5 hours a week of piano lessons. How much more does she spend on piano lessons than clarinet lessons in a year?,Step 1,Janet spends 3 hours + 5 hours = <<3+5=8>>8 hours per week on music lessons.,1,1,['3+5=8'],['3+5=>8=>8.00000000000000'],['8=>8.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['8.00000000000000']
Janet pays $40/hour for 3 hours per week of clarinet lessons and $28/hour for 5 hours a week of piano lessons. How much more does she spend on piano lessons than clarinet lessons in a year?,Step 2,She spends 40 * 3 = <<40*3=120>>120 on clarinet lessons per week.,1,1,['40*3=120'],['40*3=>120=>120.000000000000'],['120=>120.000000000000'],['sympy'],['sympy'],[''],[''],[1],['120.000000000000']
Janet pays $40/hour for 3 hours per week of clarinet lessons and $28/hour for 5 hours a week of piano lessons. How much more does she spend on piano lessons than clarinet lessons in a year?,Step 3,She spends 28 * 5 = <<28*5=140>>140 on piano lessons per week.,1,1,['28*5=140'],['28*5=>140=>140.000000000000'],['140=>140.000000000000'],['sympy'],['sympy'],[''],[''],[1],['140.000000000000']
Janet pays $40/hour for 3 hours per week of clarinet lessons and $28/hour for 5 hours a week of piano lessons. How much more does she spend on piano lessons than clarinet lessons in a year?,Step 4,Janet spends 120 + 140 = <<120+140=260>>260 on music lessons per week.,1,1,['120+140=260'],['120+140=>260=>260.000000000000'],['260=>260.000000000000'],['sympy'],['sympy'],[''],[''],[1],['260.000000000000']
Janet pays $40/hour for 3 hours per week of clarinet lessons and $28/hour for 5 hours a week of piano lessons. How much more does she spend on piano lessons than clarinet lessons in a year?,Step 5,She spends 260 * 52 = <<260*52=13520>>13520 on music lessons in a year. The answer is: 13520,0,1,['260*52=13520'],['260*52=>13520=>13520.0000000000'],['13520=>13520.0000000000'],['sympy'],['sympy'],[''],[''],[1],['13520.0000000000']
"Ralph watches TV for 4 hours a day from Monday to Friday, and 6 hours a day on Saturday and Sunday. How many hours does Ralph spend watching TV in one week?",Step 1,Ralph spends 4 + 6 = <<4+6=10>>10 hours watching TV on both weekdays and weekends.,0,1,['4+6=10'],['4+6=>10=>10.0000000000000'],['10=>10.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['10.0000000000000']
"Ralph watches TV for 4 hours a day from Monday to Friday, and 6 hours a day on Saturday and Sunday. How many hours does Ralph spend watching TV in one week?",Step 2,"Therefore, Ralph spends 10 x 7 = <<10*7=70>>70 hours watching TV in a week. The answer is: 70",0,1,['10*7=70'],['10*7=>70=>70.0000000000000'],['70=>70.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['70.0000000000000']
"In a northwestern town, it rained 4 inches per day during the first 15 days of November.  For the remainder of the month, the average daily rainfall was twice the amount observed during the first 15 days.  What is the total amount of rainfall for this town in November, in inches?",Step 1,"During the first 15 days of November, the daily rainfall was 4 inches per day. If the average daily rainfall for the next 15 days is twice as much as the first 15 days, then the average daily rainfall for the next 15 days is 2*4 = <<2*4=8>>8 inches per day",1,1,['2*4=8'],['2*4=>8=>8.00000000000000'],['8=>8.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['8.00000000000000']
"In a northwestern town, it rained 4 inches per day during the first 15 days of November.  For the remainder of the month, the average daily rainfall was twice the amount observed during the first 15 days.  What is the total amount of rainfall for this town in November, in inches?",Step 2,"If the average daily rainfall is 8 inches per day for the next 15 days, then the total rainfall during the next 15 days is 8*15 = <<8*15=120>>120 inches",1,1,['8*15=120'],['8*15=>120=>120.000000000000'],['120=>120.000000000000'],['sympy'],['sympy'],[''],[''],[1],['120.000000000000']
"In a northwestern town, it rained 4 inches per day during the first 15 days of November.  For the remainder of the month, the average daily rainfall was twice the amount observed during the first 15 days.  What is the total amount of rainfall for this town in November, in inches?",Step 3,"For the whole month, the total rainfall is 120+4 = <<120+4=124>>124 inches The answer is: 124",0,1,['120+4=124'],['120+4=>124=>124.000000000000'],['124=>124.000000000000'],['sympy'],['sympy'],[''],[''],[1],['124.000000000000']
"Jack is making barbecue sauce. He uses 3 cups of ketchup, 1 cup of vinegar and 1 cup of honey. If each burger takes 1/4 cup of sauce and each pulled pork sandwich takes 1/6 cup, how many burgers can Jack make if he makes 18 pulled pork sandwiches?",Step 1,First find the total amount of sauce Jack makes: 3 cups + 1 cup + 1 cup = <<3+1+1=5>>5 cups,1,1,['3+1+1=5'],['3+1+1=>5=>5.00000000000000'],['5=>5.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['5.00000000000000']
"Jack is making barbecue sauce. He uses 3 cups of ketchup, 1 cup of vinegar and 1 cup of honey. If each burger takes 1/4 cup of sauce and each pulled pork sandwich takes 1/6 cup, how many burgers can Jack make if he makes 18 pulled pork sandwiches?",Step 2,Then divide that amount into 1/4 cup portions for the burgers: 5 cups / 1/4 cup = <<5/4=20>>20 cups,0,1,['5/4=20'],['5/4=>1.25000000000000'],['20=>20.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['1.25000000000000']
"Jack is making barbecue sauce. He uses 3 cups of ketchup, 1 cup of vinegar and 1 cup of honey. If each burger takes 1/4 cup of sauce and each pulled pork sandwich takes 1/6 cup, how many burgers can Jack make if he makes 18 pulled pork sandwiches?",Step 3,Then divide the 18 pulled pork sandwiches into 1/6 cup portions: 18 / 1/6 = <<18/6=30>>30 cups,0,1,['18/6=30'],['18/6=>3=>3.00000000000000'],['30=>30.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['3.00000000000000']
